label,Column1,id,form_id,name,form,alias,image_name,category,weight,height,type_1,type_2,ability_1,ability_2,ability_3,last_gen,H,A,B,C,D,S
2.0,0001-000,1,0,フシギダネ,,フシギダネ,pm0001_00_00_00.png,たねポケモン,6.9,0.7,くさ,どく,しんりょく,ようりょくそ,,9,45,49,49,65,65,45
3.0,0002-000,2,0,フシギソウ,,フシギソウ,pm0002_00_00_00.png,たねポケモン,13.0,1.0,くさ,どく,しんりょく,ようりょくそ,,9,60,62,63,80,80,60
4.0,0003-000,3,0,フシギバナ,,フシギバナ,pm0003_00_00_00.png,たねポケモン,100.0,2.0,くさ,どく,しんりょく,ようりょくそ,,9,80,82,83,100,100,80
,0003-001,3,1,フシギバナ,メガフシギバナ,メガフシギバナ,,たねポケモン,155.5,2.4,くさ,どく,あついしぼう,ようりょくそ,,7,80,82,83,100,100,80
,0003-999,3,999,フシギバナ,キョダイマックス,フシギバナ(キョダイ),,-,9999.9,24.0,くさ,どく,しんりょく,ようりょくそ,,8,80,82,83,100,100,80
5.0,0004-000,4,0,ヒトカゲ,,ヒトカゲ,pm0004_00_00_00.png,とかげポケモン,8.5,0.6,ほのお,,もうか,サンパワー,,9,39,52,43,60,50,65
6.0,0005-000,5,0,リザード,,リザード,pm0005_00_00_00.png,かえんポケモン,19.0,1.1,ほのお,,もうか,サンパワー,,9,58,64,58,80,65,80
7.0,0006-000,6,0,リザードン,,リザードン,pm0006_00_00_00.png,かえんポケモン,90.5,1.7,ほのお,ひこう,もうか,サンパワー,,9,78,84,78,109,85,100
,0006-001,6,1,リザードン,メガリザードンＸ,メガリザードンＸ,,かえんポケモン,110.5,1.7,ほのお,ドラゴン,かたいツメ,サンパワー,,7,78,84,78,109,85,100
,0006-002,6,2,リザードン,メガリザードンＹ,メガリザードンＹ,,かえんポケモン,100.5,1.7,ほのお,ひこう,ひでり,サンパワー,,7,78,84,78,109,85,100
,0006-999,6,999,リザードン,キョダイマックス,リザードン(キョダイ),,-,9999.9,28.0,ほのお,ひこう,もうか,サンパワー,,8,78,84,78,109,85,100
8.0,0007-000,7,0,ゼニガメ,,ゼニガメ,pm0007_00_00_00.png,かめのこポケモン,9.0,0.5,みず,,げきりゅう,あめうけざら,,9,44,48,65,50,64,43
9.0,0008-000,8,0,カメール,,カメール,pm0008_00_00_00.png,かめポケモン,22.5,1.0,みず,,げきりゅう,あめうけざら,,9,59,63,80,65,80,58
10.0,0009-000,9,0,カメックス,,カメックス,pm0009_00_00_00.png,こうらポケモン,85.5,1.6,みず,,げきりゅう,あめうけざら,,9,79,83,100,85,105,78
,0009-001,9,1,カメックス,メガカメックス,メガカメックス,,こうらポケモン,101.1,1.6,みず,,メガランチャー,あめうけざら,,7,79,83,100,85,105,78
,0009-999,9,999,カメックス,キョダイマックス,カメックス(キョダイ),,-,9999.9,25.0,みず,,げきりゅう,あめうけざら,,8,79,83,100,85,105,78
,0010-000,10,0,キャタピー,,キャタピー,,いもむしポケモン,2.9,0.3,むし,,りんぷん,にげあし,,8,45,30,35,20,20,45
,0011-000,11,0,トランセル,,トランセル,,さなぎポケモン,9.9,0.7,むし,,だっぴ,,,8,50,20,55,25,25,30
,0012-000,12,0,バタフリー,,バタフリー,,ちょうちょポケモン,32.0,1.1,むし,ひこう,ふくがん,いろめがね,,8,60,45,50,90,80,70
,0012-999,12,999,バタフリー,キョダイマックス,バタフリー(キョダイ),,-,9999.9,17.0,むし,ひこう,ふくがん,いろめがね,,8,60,45,50,90,80,70
,0013-000,13,0,ビードル,,ビードル,,けむしポケモン,3.2,0.3,むし,どく,りんぷん,にげあし,,8,40,35,30,20,20,50
,0014-000,14,0,コクーン,,コクーン,,さなぎポケモン,10.0,0.6,むし,どく,だっぴ,,,8,45,25,50,25,25,35
,0015-000,15,0,スピアー,,スピアー,,どくばちポケモン,29.5,1.0,むし,どく,むしのしらせ,スナイパー,,8,65,90,40,45,80,75
,0015-001,15,1,スピアー,メガスピアー,メガスピアー,,どくばちポケモン,40.5,1.4,むし,どく,てきおうりょく,スナイパー,,7,65,90,40,45,80,75
,0016-000,16,0,ポッポ,,ポッポ,,ことりポケモン,1.8,0.3,ノーマル,ひこう,するどいめ,ちどりあし,はとむね,8,40,45,40,35,35,56
,0017-000,17,0,ピジョン,,ピジョン,,とりポケモン,30.0,1.1,ノーマル,ひこう,するどいめ,ちどりあし,はとむね,8,63,60,55,50,50,71
